State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,16000,18000,17000
Tamil Nadu,Coimbatore,Singanallur(Uzhavar Sandhai ),Betal Leaves,Mysore,Local,16-05-2026,16500,17500,17000
Himachal Pradesh,Sirmore,PMY Paonta Sahib,Apple,Kasmir/Shimla - II,Grade A,16-05-2026,16000,18000,17000
Tamil Nadu,Madurai,Anaiyur(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,12000,22000,17000
Tamil Nadu,Thirupur,Dharapuram(Uzhavar Sandhai ),Beans,Beans (Whole),Local,16-05-2026,16000,18000,17000
Tamil Nadu,Virudhunagar,Sivakasi(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,16000,18000,17000
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,16500,17000,16750
Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,16000,17500,16750
Tamil Nadu,Nagercoil (Kannyiakumari),Myladi(Uzhavar Sandhai ),Pomegranate,Pomogranate,Local,16-05-2026,16000,17000,16500
Tamil Nadu,Thiruvannamalai,Polur(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,15000,18000,16500
Tamil Nadu,Madurai,Anna nagar(Uzhavar Sandhai ),Green Peas,Green Peas,Local,16-05-2026,16000,17000,16500
Himachal Pradesh,Kangra,SMY Jaisinghpur,Apple,Apple,Medium,16-05-2026,15500,18000,16500
Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,16000,17000,16500
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Green Peas,Green Peas,Local,16-05-2026,16000,17000,16500
Tamil Nadu,Madurai,Palanganatham(Uzhavar Sandhai ),Green Peas,Green Peas,Local,16-05-2026,16000,17000,16500
Tamil Nadu,Virudhunagar,Thalavaipuram(Uzhavar Sandhai ),Lime,Lime,Local,16-05-2026,15000,18000,16500
Tamil Nadu,Thiruvannamalai,Arani(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,15000,18000,16500
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Green Peas,Green Peas,Local,16-05-2026,16000,16800,16400
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Green Peas,Green Peas,Local,16-05-2026,15800,16800,16300
Tamil Nadu,Tuticorin,Kovilpatti(Uzhavar Sandhai ),Lime,Lime,Local,16-05-2026,16000,16500,16250
Tamil Nadu,Tuticorin,Kovilpatti(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,16-05-2026,16000,16500,16250
Tamil Nadu,Coimbatore,Singanallur(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,14000,18500,16250
Tamil Nadu,Tuticorin,Kovilpatti(Uzhavar Sandhai ),Beans,Beans (Whole),Local,16-05-2026,16000,16500,16250
Kerala,Ernakulam,Thrippunithura APMC,Lemon,Other,Medium,16-05-2026,16000,17000,16200
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ),Tamarind Fruit,Tamarind Fruit,Local,16-05-2026,15000,17000,16000
Himachal Pradesh,Kangra,SMY Palampur,Apple,Apple,Medium,16-05-2026,15000,17000,16000
Himachal Pradesh,Bilaspur,PMY Bilaspur,Pomegranate,Pomogranate,Grade C,16-05-2026,15000,19000,16000
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Garlic,Garlic,Local,16-05-2026,16000,16000,16000
Tamil Nadu,Villupuram,Villupuram(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,16-05-2026,16000,16000,16000
Kerala,Ernakulam,Thrippunithura APMC,Ginger(Green),Green Ginger,Medium,16-05-2026,15000,20000,16000
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ),Marigold(Calcutta),Marigold(Calcutta),Local,16-05-2026,16000,16000,16000
Tamil Nadu,The Nilgiris,Udhagamandalam(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,15000,17000,16000
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ),Beans,Beans (Whole),Local,16-05-2026,16000,16000,16000
Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,16000,16000,16000
Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,15000,17000,16000
Tamil Nadu,Cuddalore,Vadalur(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,15000,17000,16000
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ),Orange,Darjeeling,Local,16-05-2026,16000,16000,16000
Tamil Nadu,Coimbatore,Singanallur(Uzhavar Sandhai ),Beans,Beans (Whole),Local,16-05-2026,15000,16500,15750
Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ),Beans,Beans (Whole),Local,16-05-2026,15000,16500,15750
Tamil Nadu,Coimbatore,Udumalpet APMC,Beans,Beans (Whole),Local,16-05-2026,15000,16500,15750
Tamil Nadu,Salem,Thathakapatti(Uzhavar Sandhai ),Green Peas,Green Peas,Local,16-05-2026,15000,16500,15750
Tamil Nadu,Sivaganga,Devakottai (Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,16-05-2026,15000,16200,15600
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Beans,Beans (Whole),Local,16-05-2026,15000,16000,15500
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,16-05-2026,15000,16000,15500
Tamil Nadu,Perambalur,Perambalur(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,15000,16000,15500
Tamil Nadu,Perambalur,Perambalur(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,15000,16000,15500
Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Beans,Beans (Whole),Local,16-05-2026,15000,16000,15500
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ),Beans,Beans (Whole),Local,16-05-2026,14000,17000,15500
Tamil Nadu,Madurai,Anna nagar(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,16-05-2026,15000,16000,15500
Tamil Nadu,Madurai,Anaiyur(Uzhavar Sandhai ),Green Peas,Green Peas,Local,16-05-2026,14000,17000,15500
Tamil Nadu,Namakkal,Mohanur(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,16-05-2026,15000,16000,15500
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,15000,16000,15500
Tamil Nadu,Sivaganga,Singampunari(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,16-05-2026,15000,16000,15500
Tamil Nadu,Virudhunagar,Thalavaipuram(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,14000,17000,15500
Tamil Nadu,Thanjavur,Papanasam(Uzhavar Sandhai ),Beans,Beans (Whole),Local,16-05-2026,14000,17000,15500
Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,16-05-2026,15000,16000,15500
Tamil Nadu,Dharmapuri,Harur(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,15000,16000,15500
Tamil Nadu,Salem,Thammampatti (Uzhavar Sandhai ),Tamarind Fruit,Tamarind Fruit,Local,16-05-2026,15000,16000,15500
Tamil Nadu,Namakkal,Namakkal(Uzhavar Sandhai ),Green Peas,Green Peas,Local,16-05-2026,15000,16000,15500
Himachal Pradesh,Kangra,SMY Baijnath,Pomegranate,Pomogranate,Grade B,16-05-2026,15000,16000,15500
Tamil Nadu,Erode,Sathiyamagalam(Uzhavar Sandhai ),Beans,Beans (Whole),Local,16-05-2026,15000,16000,15500
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri APMC,Ginger(Green),Green Ginger,Local,16-05-2026,15000,16000,15500
Tamil Nadu,Dharmapuri,Harur(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,15000,16000,15500
Tamil Nadu,Erode,Sathiyamagalam(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,15000,15500,15250
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Green Peas,Green Peas,Local,16-05-2026,15000,15500,15250
Kerala,Ernakulam,Thrippunithura APMC,Indian Beans(Seam),Other,Medium,16-05-2026,15000,16000,15200
Tamil Nadu,Thiruvannamalai,Tiruvannamalai(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,16-05-2026,14000,16000,15000
Tamil Nadu,Coimbatore,Singanallur(Uzhavar Sandhai ),Green Peas,Green Peas,Local,16-05-2026,14000,16000,15000
Tamil Nadu,Ranipet,Arcot(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,12000,18000,15000
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,15000,15000,15000
Tamil Nadu,Namakkal,Mohanur(Uzhavar Sandhai ),Beans,Beans (Whole),Local,16-05-2026,14000,16000,15000
Tamil Nadu,Theni,Chinnamanur(Uzhavar Sandhai ),Lime,Lime,Local,16-05-2026,15000,15000,15000
Tamil Nadu,Ranipet,Arcot(Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,14000,16000,15000
Tamil Nadu,Ranipet,Arcot(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,16-05-2026,15000,15000,15000
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ),Garlic,Garlic,Local,16-05-2026,15000,15000,15000
Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,15000,15000,15000
Tamil Nadu,Cuddalore,Panruti(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,15000,15000,15000
